,shopcode,shopname,shoplat,shoplng
7512,z5fh,Pizza Hut必勝客 (高雄鳳山店),22.62190578,120.35722075
7513,eald,好了啦紅茶冰 (蘆竹長興店),25.06828893,121.27139197
7514,jklu,簡單鮮果調飲,24.6814592,121.7633901
7515,p8iu,龍濱加熱滷味,25.0683937,121.5027238
7516,mh4m,椒麻雞大王,25.0829223,121.5660076
7517,rvz5,炒天下,25.0485932,121.4583665
7518,dhc5,亭仔腳炒飯炒麵,25.1452338,121.495408
7519,zy70,北門包子,24.7593692,121.7553104
7520,j4ev,粥大福 (台中逢甲店),24.17475631,120.64717314
7521,jwsw,素早餐,23.9667144,121.5932703
7522,q89q,力軒屋日式丼飯,24.1818226,120.6458568
7523,gskb,泰饗念 (頭份後庄店),24.6988626,120.8937726
7524,g4pd,A-BAO阿寶早午餐 (民雄東榮店),23.5572932,120.4364798
7525,nu93,安咖哩,24.8002777,120.9662158
7526,y8rm,漢林鐵板燒 (台中西屯店),24.17056046,120.6472067
7527,v4vt,呷尚宝早午餐 (高雄大明店),22.6097386,120.3416822
7528,n58c,牛肉坤 現宰牛肉湯,22.5847803,120.3604166
7529,f7lq,Mr.渣登,23.70301562,120.4266173
7530,z0ox,鮮茶道 (中壢中園店),24.96577755,121.23635255
7531,r7hc,芋心媽,24.13799268,120.63815419
7532,f44f,醋頭家 True Boss (台南大灣店),23.00102035,120.26290548
7533,z1oz,樂野牛排,23.4838716,120.4598764
7534,fvgw,非常找茶古早味紅茶冰 (北區國瑞店),24.1575207,120.6958677
7535,tt6x,醬燒炭烤,25.0640525,121.4993764
7536,pz50,Louisa 路易莎 (高雄重愛店),22.68478625,120.31632771
7537,wkqj,霸王功夫雞專門店 (馬偕外送店),25.05805058,121.52343011
7538,jvhx,芝芝杏仁茶室,25.0832501,121.43943531
7539,mnlk,祈樂丼飯食堂,24.14456693,120.6864996
7540,eemp,葵媽廚房,25.17896368,121.43729842
7541,vqbm,花好月圓 (精誠旗艦總店),24.1550652,120.6559227
7542,lzkb,一風堂 傻瓜三拌麵,24.59595711,121.84939067
7543,uhoo,唐太盅養生燉品甜湯 (不老松鳳山店),22.6219759,120.3591174
7544,drnu,芊苡號,25.0345167,121.4309321
7545,jbn2,珍好味職人鍋物 (屏東外帶店),22.6711344,120.4987697
7546,vdat,享蔬喜,22.68669889,120.502742
7547,f5yi,愛沐義麵屋 (永和國光店),25.0106495,121.5180266
7548,uig8,拉亞漢堡 (龍潭中興店),24.87379715,121.23323453
7549,j5id,集可吉早餐吧,23.0646952,120.2938876
7550,yygb,CoCo都可 (中壢南園店),24.97169614,121.23525768
7551,dd32,五桐號 WooTEA (台中大墩店),24.14255481,120.6473409
7552,krbj,普通人綠豆沙牛奶 (台中向上店),24.14787528,120.66169288
7553,sivj,潮麻吉 (台中永春店),24.13848148,120.6108294
7554,q49e,早安美芝城 (彰化活力竹塘店),23.8588088,120.4278096
7555,qulq,竺香鍋燒麵專賣,22.59623595,120.32745616
7556,gsys,熊棧水餃日式鍋燒麵 (中正店),24.2490083,120.69954578
7557,tkte,椿爌肉飯麵,24.20269917,120.56641584
7558,p50a,無飲 (海都店),25.19708,121.4388183
7559,uxda,晨間廚房 (台東傳廣店),22.7678531,121.1437737
7560,bgaj,巷口炸雞 (淡水英專店),25.1700717,121.4455834
7561,c30b,旭早手作蛋餅,25.04441134,121.4566584
7562,glnb,珍煮丹 (中壢新生店),24.96201407,121.2230336
7563,kh7b,山焙 (新莊幸福店),25.049202,121.45069064
7564,rt5g,小巴咕鍋的物,22.9731855,120.23198482
7565,a0ih,炸鷄大獅 (內湖家樂福店),25.0604296,121.57474055
7566,fe3m,92度半咖啡 (台中大雅號),24.22854667,120.65301881
7567,k2oh,花便當,24.15474675,120.66651625
7568,cw7j,咕嚕叫吐司 (台南鹽行店),23.0413617,120.238447
7569,ub53,鹿品土雞肉飯,24.7090542,120.92430127
7570,xn73,誰家的雞蛋糕,22.645928,120.3296839
7571,z3ma,Watashi 職人良飲,22.9673022,120.2320098
7572,v8qy,麥味登 (埔里酒廠店),23.96878564,120.95762304
7573,gx4c,迎食流咖哩 (竹北華興店),24.8393906,121.0019211
7574,p9lp,味滿食堂 (家樂福淡新店),25.18813274,121.44371415
7575,fr6e,大逢甲小辣椒,24.1793957,120.6463502
7576,k554,鹽水豬頭飯,23.3099028,120.30921194
7577,eg1h,小田園快速早餐 (林園東林店),22.5035324,120.3954508
7578,ob94,288鵝肉雞肉店,24.99566567,121.5149998
7579,z8ni,竇爸中式快餐 (台南仁和店),22.9700729,120.2340565
7580,ae9f,甲一便當 (苗栗頭份店),24.68663666,120.90844775
7581,p5i6,楊彩卿魚丸米粉專賣 (泰山店),24.753261,121.7423758
7582,r1w9,天慈素食 (台中健行店),24.1589217,120.67361
